,,,,,,,,Dusun 1,,Dusun 2,,Dusun 3,,Dusun 4,,Dusun 5,,Dusun 5,,Dusun 6,,,,,DST
ACEH,ACEH BARAT,Kaway XVI,Pasi Ara,96.2001864,4.2667812,√,,Pasi Ara,Berlistrik PLN,Pantai Perlak,0,Cita Rasa,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pasi Jambu,96.159566,4.199265,√,,Pasi Jambu,Berlistrik PLN,Jurong Blang,0,Tgk. Tuwi,0,Tgk. Mat,0,Jurong Sentosa,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pasi Jeumpa,96.199577,4.258733,√,,Pasi Jeumpa,Berlistrik PLN,Tgk. Meulaboh,0,T. Sampan Chik,0,Muda Jeumpa,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pasi Kumbang,96.206634,4.30305,√,,Pasi Kumbang,Berlistrik PLN,Mulia,0,Damai,0,Sejahtera,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pasi Meugat,96.199764,4.26694,√,,Pasi Meugat,Berlistrik PLN,Gunong Kembang,0,Alue Pungga,0,Mesjid,0,Peunayong,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pasi Teungoh,96.160209,4.208158,√,,Pasi Teungoh,Berlistrik PLN,Merak,0,Garuda,0,Merpati,0,Rajawali,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Peunia,96.15591,4.23829,√,,Peunia,Berlistrik PLN,Tgk. Nyak Ubat,0,Tgk. Nyak Xandeh,0,Tgk. Muhammad,0,Tgk. Rambong,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pucok Pungkie,96.196595,4.294032,√,,Pucok Pungkie,Berlistrik PLN,T. Raja Leman,0,Cot manggi,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Pungkie,96.202003,4.281051,√,,Pungkie,Berlistrik PLN,Alue Bhoy,0,Terusep,0,Lhok Adam,0,Mesjid,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Putim,96.186586,4.248591,√,,Putim,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Puuk,96.192828,4.270915,√,,Puuk,Berlistrik PLN,Murni,0,Mulya,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Sawang Teubei,96.198577,4.31381,√,,Sawang Teubei,Berlistrik PLN,Taruna,0,Taruna Jaya,0,Sawang Jaya,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Simpang,96.152222,4.233145,√,,Simpang,Berlistrik PLN,Sejahtera,0,Keramat,0,Bahagia,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Tanjong Bungong,96.177979,4.239207,√,,Tanjong Bungong,Berlistrik PLN,Pantak Toi,0,Mata Ie,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Tanjong Meulaboh,96.211746,4.293434,√,,Tanjong Meulaboh,Berlistrik PLN,Datok Sarong,0,Meureuya,0,Cot Lawi,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Teladan,96.207988,4.313797,√,,Teladan,Berlistrik PLN,Melur,0,Mawar,0,Melati,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Teupin Panah,96.230933,4.306552,√,,Teupin Panah,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Tumpok Ladang,96.167313,4.214807,√,,Tumpok Ladang,Berlistrik PLN,Kakad”n,0,Pahlawan,0,T. Majid,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Balee,96.198802,4.197744,√,,Balee,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Bukit Jaya,96.267081,4.155307,√,,Bukit Jaya,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Buloh,96.261944,4.17554,√,,Buloh,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Gunong Kleng,96.180028,4.124594,√,,Gunong Kleng,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Langung,96.160001,4.143434,√,,Langung,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Mesjid Tuha,96.1579,4.169712,√,,Mesjid Tuha,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Meureubo,96.152291,4.147789,√,,Meureubo,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Pasi Aceh Baroh,96.162807,4.181648,√,,Pasi Aceh Baroh,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Pasi Aceh Tunong,96.16368,4.196379,√,,Pasi Aceh Tunong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Pasi Mesjid,96.15198,4.17157,√,,Pasi Mesjid,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Pasi Pinang,96.140378,4.152291,√,,Pasi Pinang,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Paya Baro Ranto P,96.201565,4.220453,√,,Paya Baro Ranto P,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Paya Peunaga,96.170354,4.13983,√,,Paya Peunaga,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Peunaga Cut Ujong,96.187767,4.119344,√,,Peunaga Cut Ujong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Peunaga Pasi,96.1713668,4.1262681,√,,Peunaga Pasi,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Peunaga Rayeuk,96.168245,4.13563,√,,Peunaga Rayeuk,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Pucok Reudeup,96.223686,4.210963,√,,Pucok Reudeup,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Pulo Teungoh,96.162423,4.178249,√,,Pulo Teungoh,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Ranto Panyang Barat,96.153535,4.165586,√,,Ranto Panyang Barat,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Ranto Panyang Timur,96.160401,4.164769,√,,Ranto Panyang Timur,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Ranub Dong,96.161014,4.174602,√,,Ranub Dong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Reudeup,96.216712,4.205363,√,,Reudeup,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Sumber Batu,96.264709,4.177556,√,,Sumber Batu,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Ujong Drien,96.150124,4.149796,√,,Ujong Drien,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Ujong Tanjong,96.152707,4.157844,√,,Ujong Tanjong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Meureubo,Ujong Tanoh Darat,96.167427,4.173135,√,,Ujong Tanoh Darat,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Pante Ceureumen,Alue Keumang,96.251385,4.400212,√,,Tgk. Putik,Berlistrik PLN,SP.RAHMAT,Berlistrik PLN,MESJID TUHA,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Pante Ceureumen,Babah Iseung,96.242577,4.391781,√,,Mesjid,Berlistrik PLN,P. MAKMUR,Berlistrik PLN,COT MEREDOM,Berlistrik PLN,0,Berlistrik PLN,0,0,0,0,,,,,,
